GRANGRUP,GRUPO,SUBGRUPO,VARIEDAD,CODOCUPA,DESOCUPA
0,0,0,0,0,FUERZAS ARMADAS Y POLICIALES
0,1,0,0,10,FUERZA ARMADAS
0,1,1,0,11,OFICIALES
0,1,1,1,11,"MARINA, OFICIALES"
0,1,1,2,11,"EJERCITO, OFICIALES"
0,1,1,3,11,"AVIACION, OFICIAL"
0,1,2,0,12,TECNICOS
0,1,2,1,12,"MARINA, TECNICOS"
0,1,2,2,12,"EJERCITO, TECNICOS"
0,1,2,3,12,"AVIACION, TECNICOS"
0,1,3,0,13,SUB-OFICIALES
0,1,3,1,13,"MARINA, SUB OFICIALES"
0,1,3,2,13,"EJERCITO, SUB OFICIALES"
0,1,3,3,13,"AVIACION, SUB OFICIALES"
0,1,4,0,14,PERSONAL DE SERVICIO MILITAR
0,1,4,1,14,"MARINA, PERSONAL DE SERVICIO MILITAR"
0,1,4,2,14,"EJERCITO, PERSONAL DE SERVICIO MILITAR"
0,1,4,3,14,"AVIACION, PERSONAL DE SERVICIO MILITAR"
0,1,5,0,15,MILITAR NO ESPECIFICADO
0,1,5,1,15,MILITAR NO ESPECIFICADO
0,2,0,0,20,FUERZAS POLICIALES
0,2,1,0,21,OFICIALES
0,2,1,1,21,"POLICIA NACIONAL, OFICIALES"
0,2,2,0,22,TECNICOS
0,2,2,1,22,"POLICIA NACIONAL, TECNICOS"
0,2,3,0,23,SUB-OFICIALES
0,2,3,1,23,"POLICIA NACIONAL, SUB OFICIALES"
0,2,4,0,24,POLICIA NO ESPECIFICADO
0,2,4,1,24,POLICIA NO ESPECIFICADO
1,0,0,0,100,MIEMBROS DEL PODER EJECUTIVO Y DE LOS CUERPOS LEGISLATIVOS Y
1,1,0,0,110,"MIEMBROS DEL PODER EJECUTIVO Y DE LOS CUERPOS LEGISLATIVOS,"
1,1,1,0,111,MIEMBROS DEL PODER EJECUTIVO Y DE LOS CUERPOS LEGISLATIVOS
1,1,1,1,111,CANCILLER
1,1,1,2,111,CONGRESISTA
1,1,1,3,111,"CONSEJERO, GOBIERNO"
1,1,1,4,111,CONSULES EN FUNCION (PERUANOS)
1,1,1,5,111,CONTRALOR GENERAL
1,1,1,6,111,DIPUTADO
1,1,1,7,111,EMBAJADORES EN FUNCION (PERUANOS)
1,1,1,8,111,FISCAL DE LA NACION
