Código_CNO_2015,Grupos_Primarios
111,Oficiales del Ejército
112,Oficiales de la Marina de Guerra
113,Oficiales de la Fuerza Aérea
120,Oficiales de la Fuerzas Policiales
211,Suboficiales del Ejército
212,Suboficiales de la Marina de Guerra
213,Suboficiales de la Fuerza Aérea
220,Suboficiales de la Policía Nacional
311,Técnicos del Ejército
312,Técnicos de la Marina de Guerra
313,Técnicos de la Fuerza aérea
320,Técnicos de la Fuerzas Policiales
1111,Miembros del Poder Ejecutivo excepto jefes de pequeñas poblaciones
1112,Miembros del Poder Legislativo
1113,Miembros de la Corte Suprema de Justicia y de la Corte Superior de Justicia
1114,Directivos de la administración pública
1115,"Jefes de comunidades indígenas,  etnias especiales y otras pequeñas poblaciones"
1121,"Directores Generales del sector privado agropecuario, la caza y la silvicultura"
1122,Directores generales del sector privado de la piscicultura y la pesca
1131,Directores generales del sector privado de la industria manufacturera
1132,"Directores generales del sector privado de explotaciones mineras, petróleo y gas"
1133,Directores generales del sector privado de la construcción
1134,"Directores generales de servicios de abastecimiento, distribución, transporte y afines"
1141,Directores generales del sector privado del servicio de alojamiento
1142,Directores generales del sector privado del servicio de restaurante
1143,Directores generales del sector privado del servicio de comercio al por mayor
1144,Directores generales del sector privado del servicio de comercio al por menor
1150,Directores generales del sector privado de servicios de tecnología de la información y las comunicaciones (TIC)
1161,Directores generales del sector privado que presentan servicios de cuidados infantiles
1162,Directores generales de centros culturales y entretenimiento
1163,Directores generales del sector privado que prestan servicios de salud
1164,Directores generales del sector privado que prestan servicios de cuidado del adulto mayor
1165,Directores generales del sector privado que presenta servicios de bienestar social
1166,Directores generales del sector privado que presenta servicios de educación
1167,Directores generales del sector privado que prestan servicios financieros y de seguros
1169,Otros directores generales del sector privado que prestan servicios profesionales
1171,Dirigentes de organizaciones políticas
1172,Dirigentes de organizaciones gremiales
1173,Dirigentes de organizaciones que presentan un interés especial
1211,"Directores en servicios financieros, de presupuesto y/o contabilidad"
1212,Directores de recursos humanos y/o relaciones laborales
1213,Directores de políticas y planificación
1219,Otros directores de administración y servicios
1221,Directores de ventas y comercialización
1222,Directores de publicidad y relaciones públicas.
1223,Directores de investigación y desarrollo
1311,Directores y gerentes de producción agropecuaria y silvicultura
1312,Directores y gerentes de producción de piscicultura y pesca
1321,Directores y gerentes de industrias manufactureras
1322,Directores y gerentes de empresas de explotaciones mineras
1323,Directores y gerentes de empresas de construcción
1324,Directores y gerentes de empresas de transporte
1325,Directores y gerentes de producción y suministro de petróleo y gas
1326,Directores y gerentes en generación y provisión de energía eléctrica y agua
